molecule_chembl_id,canonical_smiles,bioactivity_class,MolWt,MolLogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL133897,CCOc1nn(-c2cccc(OCc3ccccc3)c2)c(=O)o1,active,312.32500000000005,2.8032000000000004,0,6,6.1249387366083
CHEMBL336398,O=C(N1CCCCC1)n1nc(-c2ccc(Cl)cc2)nc1SCC1CC1,active,376.9130000000002,4.554600000000004,0,5,7.0
CHEMBL131588,CN(C(=O)n1nc(-c2ccc(Cl)cc2)nc1SCC(F)(F)F)c1ccccc1,inactive,426.8510000000001,5.357400000000003,0,5,4.301029995663981
CHEMBL130628,O=C(N1CCCCC1)n1nc(-c2ccc(Cl)cc2)nc1SCC(F)(F)F,active,404.8450000000001,4.706900000000003,0,5,6.522878745280337
CHEMBL130478,CSc1nc(-c2ccc(OC(F)(F)F)cc2)nn1C(=O)N(C)C,active,346.33400000000006,3.095300000000001,0,6,6.096910013008056
CHEMBL130098,CSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N(C)C,active,296.783,2.850100000000001,0,5,7.0
CHEMBL337486,CCCCCCSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N1CCOCC1,inactive,408.95500000000027,4.571200000000005,0,6,4.301029995663981
CHEMBL336538,COc1ccc(-c2nc(SC)n(C(=O)N(C)C)n2)cc1,active,292.364,2.2053000000000003,0,6,6.096910013008056
CHEMBL131051,CSc1nc(-c2ccc(OC(F)(F)F)cc2)nn1C(=O)N(C)c1ccccc1,inactive,408.4050000000001,4.670100000000003,0,6,4.301029995663981
CHEMBL341437,CCSc1nc(-c2ccc(OC)cc2)nn1C(=O)N1CCOCC1,inactive,348.4280000000002,2.3659999999999997,0,7,4.301029995663981
CHEMBL335033,CSc1nc(-c2ccc3ccccc3c2)nn1C(=O)N(C)C,active,312.3980000000001,3.3499000000000017,0,5,7.301029995663981
CHEMBL122983,C[C@H]1C(=O)N(C(=O)NCc2ccccc2)[C@@H]1Oc1ccc(C(=O)C(C)(C)C)cc1,inactive,394.4710000000002,4.0084000000000035,1,4,4.0
CHEMBL338720,CSc1nc(-c2ccc(-c3ccccc3)cc2)nn1C(=O)N(C)C,active,338.4360000000001,3.8637000000000032,0,5,6.251811972993799
CHEMBL339995,CSc1nc(/C=C/c2ccccc2)nn1C(=O)N(C)C,active,288.37600000000003,2.700100000000001,0,5,8.0
CHEMBL335158,CCCCCCSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N1CCCCC1,active,406.9830000000003,5.724900000000006,0,5,8.0
CHEMBL106126,Cc1c(C(C)C)c(=O)on1C(=O)N1CCC[C@H](C)C1,inactive,266.34099999999995,2.5731200000000003,0,4,4.769551078621726
CHEMBL336625,CCCCCCSc1nc(-c2ccc(C)cc2)nn1C(=O)N(C)c1ccccc1,inactive,408.57100000000014,6.0304200000000066,0,5,4.301029995663981
CHEMBL130666,CSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N1CCCCC1,active,336.8480000000002,3.7744000000000026,0,5,7.585026652029182
CHEMBL134061,O=C(N1CCOCC1)n1nc(-c2ccc(Cl)cc2)nc1SCC(F)(F)F,inactive,406.81700000000006,3.553200000000002,0,6,4.301029995663981
CHEMBL133388,CSc1nc(-c2ccc(C)cc2)nn1C(=O)N(C)C,active,276.365,2.5051200000000007,0,5,6.096910013008056
CHEMBL130645,CSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N1CCOCC1,inactive,338.82000000000016,2.620700000000001,0,6,4.301029995663981
CHEMBL133580,CCCCCCSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N(C)c1ccccc1,inactive,428.98900000000015,6.375400000000006,0,5,4.301029995663981
CHEMBL336524,CCSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N(C)C,active,310.81000000000006,3.2402000000000015,0,5,7.251811972993799
CHEMBL336276,CCCCCCSc1nc(-c2ccc(C)cc2)nn1C(=O)N(C)C,active,346.5000000000001,4.455620000000004,0,5,6.698970004336019
CHEMBL334395,CCCSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N(C)C,active,324.8370000000001,3.6303000000000027,0,5,6.522878745280337
CHEMBL131320,Cc1ccc(-c2nc(SCC(F)(F)F)n(C(=O)N(C)C)n2)cc1,active,344.362,3.4376200000000017,0,5,6.698970004336019
CHEMBL339297,COc1nn(-c2ccc(NC(=O)c3ccc(C(C)(C)C)cc3)cc2)c(=O)o1,inactive,367.4050000000001,3.3839000000000015,1,6,4.301029995663981
CHEMBL337714,CSc1nc(-c2ccc(C(F)(F)F)cc2)nn1C(=O)N(C)C,active,330.33500000000004,3.2155000000000022,0,5,6.301029995663981
CHEMBL122575,C[C@H]1C(=O)N(C(=O)NCc2ccccc2)[C@@H]1Oc1ccc(C(=O)O)cc1,inactive,354.3620000000001,2.4778000000000002,2,4,4.0
CHEMBL130704,CSc1nc(-c2ccc(C)cc2)nn1C(=O)N1CCOCC1,inactive,318.40200000000016,2.2757199999999997,0,6,4.301029995663981
CHEMBL46151,CCN(CC)CCS/C(=N\O)C(=O)c1ccc(OC)cc1,inactive,310.41900000000004,2.7406000000000015,1,6,3.585026652029182
CHEMBL54126,CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1.[Br-],active,303.19999999999993,-1.052299999999998,0,2,7.657577319177793
CHEMBL297316,C[N+](C)(C)CCS/C(=N\O)C(=O)c1ccc(F)cc1.[Cl-],inactive,320.817,-0.7604999999999988,1,4,3.0
CHEMBL431519,CN1CC[C@@]2(C)c3cc(OC(=O)NCCCCCCCCCCN4CCOCC4)ccc3N(C)[C@@H]12,active,486.7010000000004,4.597100000000005,1,6,7.3979400086720375
CHEMBL296429,Cc1ccc(C(=O)/C(=N/O)SCC[N+](C)(C)C)cc1.[Cl-],inactive,316.85400000000004,-0.5911799999999987,1,4,3.0
CHEMBL154972,N#CC(C#N)=C1Nc2ccccc2N1CCNCc1ccc(CN2CCCCC2)o1,active,402.5020000000003,3.5459600000000027,2,7,7.136677139879544
CHEMBL544022,CCN(CC)CCS/C(=N\O)C(=O)c1ccc(Cl)cc1.Cl,inactive,351.29900000000004,3.807200000000003,1,5,3.2839966563652006
CHEMBL45118,CC[N+](C)(CC)CCS/C(=N\O)C(=O)c1ccc(OC)cc1.[Cl-],inactive,360.90700000000004,-0.11079999999999801,1,5,3.0
CHEMBL542609,Cc1ccc(C(=O)/C(=N/O)SCCN(C)C)cc1.Cl,inactive,302.82699999999994,2.682020000000001,1,5,3.0
CHEMBL155322,CC1CCCCN1Cc1ccc(CNCCN2CCNC2=C(C#N)C#N)o1,active,368.4850000000001,1.90756,2,7,6.267606240177032
CHEMBL154211,N#CC(C#N)=C1NCCN1CCNCc1ccc(CN2CCCCC2)o1,active,354.4580000000002,1.519059999999999,2,7,7.522878745280337
CHEMBL1203537,CNC(NCCNCc1ccc(CN2CCCCC2)o1)=C(C#N)C#N.Cl,active,378.9080000000001,1.8446600000000002,3,7,6.080921907623926
CHEMBL86,CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,inactive,299.8020000000001,2.0023999999999997,2,4,4.698970004336019
CHEMBL47375,COc1ccc(C(=O)/C(=N/O)SCC[N+](C)(C)C)cc1.[Cl-],inactive,332.85299999999995,-0.8909999999999978,1,5,3.0
